cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
5176, 258, 3, 5, 0, 0.994913, 11476, 2.21716, 0.533964, 3579218
5177, 8514, 3, 6, 0, 0.994913, 11479, 2.21731, 0.545855, 3578224
5178, 41298, 3, 8, 0, 0.994913, 11482, 2.21746, 0.537902, 3578646
5179, 0, 0, 0, 0, 0.994913, 11482, 2.21703, 0.540675, 3578699
5180, 65544, 3, 7, 0, 0.994913, 11485, 2.21718, 0.543154, 3578339
5181, 0, 0, 0, 0, 0.994913, 11485, 2.21675, 0.532449, 3579268
5182, 67584, 3, 7, 0, 0.994913, 11488, 2.2169, 0.547271, 3579909
5183, 68100, 3, 8, 0, 0.994913, 11491, 2.21706, 0.547136, 3580234
5184, 68133, 3, 8, 0, 0.994913, 11494, 2.21721, 0.545881, 3580568
5185, 0, 0, 0, 0, 0.994913, 11494, 2.21678, 0.537173, 3580498
5186, 65544, 3, 8, 0, 0.994913, 11497, 2.21693, 0.558104, 3581442
5187, 65673, 3, 4, 0, 0.994913, 11500, 2.21708, 0.574116, 3581697
5188, 0, 5, 1, 0, 0.994913, 11505, 2.21762, 0.55421, 3581275
5189, 16512, 3, 6, 0, 0.994913, 11508, 2.21777, 0.551837, 3581726
5190, 24720, 3, 7, 0, 0.994913, 11511, 2.21792, 0.58255, 3583467
5191, 0, 1, 4, 0, 0.994913, 11512, 2.21768, 0.575387, 3583836
5192, 288, 3, 4, 0, 0.994913, 11515, 2.21784, 0.571815, 3582898
5193, 0, 0, 0, 0, 0.994913, 11515, 2.21741, 0.566027, 3584140
5194, 65568, 3, 8, 0, 0.994913, 11518, 2.21756, 0.573903, 3585878
5195, 66081, 3, 8, 0, 0.994913, 11521, 2.21771, 0.605194, 3586049
5196, 0, 0, 0, 0, 0.994913, 11521, 2.21728, 0.577586, 3585772
5197, 67584, 3, 8, 0, 0.994913, 11524, 2.21743, 0.591973, 3586335
5198, 68097, 3, 5, 0, 0.994913, 11527, 2.21758, 0.585132, 3586093
5199, 76353, 3, 6, 0, 0.994913, 11530, 2.21773, 0.609371, 3587598
5200, 109137, 3, 2, 0, 0.994913, 11533, 2.21788, 0.637952, 3588355
5201, 0, 0, 0, 0, 0.994913, 11533, 2.21746, 0.612209, 3588330
5202, 65544, 3, 4, 0, 0.994913, 11536, 2.21761, 0.623985, 3588320
5203, 67848, 3, 6, 0, 0.994913, 11539, 2.21776, 0.62362, 3586984
5204, 67866, 3, 2, 0, 0.994913, 11542, 2.21791, 0.599374, 3588105
5205, 0, 5, 1, 0, 0.994913, 11547, 2.21844, 0.608144, 3586691
5206, 16416, 3, 6, 0, 0.994913, 11550, 2.21859, 0.571471, 3585760
5207, 0, 0, 0, 0, 0.994913, 11550, 2.21817, 0.570666, 3586229
5208, 67584, 3, 5, 0, 0.994913, 11553, 2.21832, 0.58653, 3587386
5209, 67650, 3, 7, 0, 0.994913, 11556, 2.21847, 0.616795, 3586180
5210, 68166, 3, 3, 0, 0.994913, 11559, 2.21862, 0.599072, 3587007
